Ticker,Exchange,LatestPrice,Change,ChangePerc,Marketcap
AAL,NASDAQ,22.79,-0.13999939,-0.6105512,11619043000
AAPL,NASDAQ,121.79,0.58000183,0.4785099,2.03103E+12
ABMD,NASDAQ,307.38,5.980011,1.984078,13206376000
ADBE,NASDAQ,469.53,0.44000244,0.09379915,2.20151E+11
ADI,NASDAQ,154.5,-2.6100006,-1.6612568,56451138000
ADP,NASDAQ,192.5,-0.19000244,-0.09860524,80894000000
ADSK,NASDAQ,271.97,2.9599915,1.1003276,57988264000
AKAM,NASDAQ,103.42,0.7200012,0.7010723,16411490000
ALGN,NASDAQ,510.87,-17.470032,-3.3065886,40468242000
ALXN,NASDAQ,155.31,0.43499756,0.28087008,33664295000
AMAT,NASDAQ,125.74,-2.9000015,-2.2543545,1.12998E+11
AMD,NASDAQ,77.53,0.11999512,0.15501241,90469440000
AMGN,NASDAQ,255.95,3.0899963,1.2220186,1.45003E+11
AMZN,NASDAQ,3082.67,30.639893,1.0039184,1.51925E+12
ANSS,NASDAQ,345.45,2.4900208,0.7260383,28383855000
ATVI,NASDAQ,94.75,2.3499985,2.5432882,70197960000
AVGO,NASDAQ,477.95,-4.0899963,-0.8484765,1.90533E+11
BIIB,NASDAQ,277.715,1.0849915,0.39221755,43153777000
BKNG,NASDAQ,2366.945,43.41504,1.8684949,93015900000
CBOE,NASDAQ,98.93,1.2099991,1.2382307,10677072000
CDNS,NASDAQ,133.24,0.66000366,0.4978154,34744295000
CERN,NASDAQ,72.605,0.17500305,0.2416168,22021900000
CHRW,NASDAQ,97.92,0.22000122,0.22518037,13202145000
CHTR,NASDAQ,634.775,3.0250244,0.4788325,1.28654E+11
CINF,NASDAQ,104.06,-1.7300034,-1.6353184,17101732000
CMCSA,NASDAQ,55.19,0.009998322,0.018119466,2.55784E+11
CME,NASDAQ,208.35,-0.08999634,-0.043176137,73400650000
COST,NASDAQ,356.325,4.305023,1.2229486,1.5394E+11
CPRT,NASDAQ,106.425,-1.0049973,-0.9354903,24954182000
CSCO,NASDAQ,52.69,0.11999893,0.22826505,2.16281E+11
CSX,NASDAQ,96.43,-1.1800003,-1.2088928,73934320000
CTAS,NASDAQ,344.305,-2.4349976,-0.7022546,35575222000
CTSH,NASDAQ,78.39,-0.91999817,-1.1600028,41968800000
CTXS,NASDAQ,139.61,2.9799957,2.1810699,16624635000
DISCA,NASDAQ,41.98,0.07500076,0.17897809,23457250000
DISCK,NASDAQ,35.76,-0.20500183,-0.5700037,16947280000
DISH,NASDAQ,35.44,-0.7400017,-2.0453336,18964863000
DLTR,NASDAQ,115.13,0.7199936,0.62931,26353281000
DXCM,NASDAQ,353.76,1,0.28347886,32452360000
EA,NASDAQ,135.73,2.7799988,2.0910108,37956650000
EBAY,NASDAQ,60.23,-0.6500015,-1.0676765,41996500000
EQIX,NASDAQ,687.66,3.829956,0.56007427,58415215000
EXPD,NASDAQ,108.32,0.51000214,0.47305644,17733882000
EXPE,NASDAQ,175.675,-0.7449951,-0.42228496,24577753000
FANG,NASDAQ,74.56,-1.2400055,-1.6358911,11858469000
FAST,NASDAQ,51.01,0.40999985,0.8102764,28522543000
FB,NASDAQ,291.38,8.820007,3.1214635,8.00589E+11
FISV,NASDAQ,121.55,-2.1699982,-1.7539591,83169020000
FITB,NASDAQ,37.39,-1.0900002,-2.8326406,27381260000
FLIR,NASDAQ,56.22,0.5600014,1.006111,7313918500
FOXA,NASDAQ,37.315,-0.50500107,-1.3352752,22920030000
FTNT,NASDAQ,185.17,2.2899933,1.2521836,28510046000
GILD,NASDAQ,66.33,1.090004,1.6707603,81091820000
GOOG,NASDAQ,2053.98,18.390015,0.9034243,1.42098E+12
GOOGL,NASDAQ,2044.225,18.035034,0.89009595,1.36834E+12
GRMN,NASDAQ,129.915,1.5249939,1.1877824,24120752000
HAS,NASDAQ,97.535,-0.93499756,-0.9495253,13579962000
HBAN,NASDAQ,15.665,-0.42999935,-2.6716332,16270962000
HOLX,NASDAQ,74.29,0.80999756,1.1023374,18335095000
HSIC,NASDAQ,70,2.040001,3.0017672,9502167000
IDXX,NASDAQ,481.3,1.0899963,0.22698326,40013450000
ILMN,NASDAQ,400.11,-1.0200195,-0.25428653,58355327000
INCY,NASDAQ,81.98,0.23500061,0.2874801,17557416000
INFO,NASDAQ,99.25,0.62999725,0.63881284,38694840000
INTC,NASDAQ,64.91,-0.019996643,-0.030797232,2.65566E+11
INTU,NASDAQ,376.67,-0.37997437,-0.10077559,1.00182E+11
IPGP,NASDAQ,202.38,-4.720001,-2.2790928,10941956000
ISRG,NASDAQ,729.68,-1.2000122,-0.16418731,82968210000
JBHT,NASDAQ,166.72,-0.33000183,-0.19754674,17434857000
JKHY,NASDAQ,156.49,1.2200012,0.7857289,11554509000
KHC,NASDAQ,40.815,0.7749977,1.9355587,47887330000
KLAC,NASDAQ,316.08,-4.1700134,-1.3021119,47951135000
LKQ,NASDAQ,42,-0.7400017,-1.731403,25457013000
LRCX,NASDAQ,571.8,-12.559998,-2.1493597,81443730000
MAR,NASDAQ,144.39,-2.600006,-1.7688318,47075738000
MCHP,NASDAQ,152.09,-3.5700073,-2.2934647,39465222000
MDLZ,NASDAQ,59.95,0.52000046,0.87497973,82502795000
MKTX,NASDAQ,523.94,6.1099854,1.179921,18802727000
MNST,NASDAQ,92.02,0.30999756,0.33801937,47222610000
MSFT,NASDAQ,235.25,-1.1600037,-0.49067453,1.76757E+12
MU,NASDAQ,87.22,-0.7900009,-0.8976263,96536700000
MXIM,NASDAQ,91.56,-1.6700058,-1.791275,24137100000
NDAQ,NASDAQ,151.06,0.5099945,0.33875424,24323494000
NFLX,NASDAQ,514.655,11.035034,2.191143,2.22838E+11
NLOK,NASDAQ,21.83,0.19000053,0.87800616,12556775000
NTAP,NASDAQ,73.16,-1.6499939,-2.2055795,16145200000
NTRS,NASDAQ,106.545,0.6049957,0.57107395,21705476000
NVDA,NASDAQ,521.05,7.549988,1.4702995,3.08519E+11
NWS,NASDAQ,23.39,-0.62000084,-2.5822608,14047476000
NWSA,NASDAQ,25.04,-0.69999886,-2.7194984,15364708000
ODFL,NASDAQ,235.11,-2.25,-0.9479272,27663528000
PAYX,NASDAQ,100.04,-0.9300003,-0.9210659,35658000000
PBCT,NASDAQ,17.48,-0.5699997,-3.1578932,7664593000
PCAR,NASDAQ,93,-0.76000214,-0.81058246,32158763000
PYPL,NASDAQ,236.37,-4.8099976,-1.9943601,2.77567E+11
QCOM,NASDAQ,131.24,-1.949997,-1.4640715,1.46587E+11
QRVO,NASDAQ,179.97,-2.7099915,-1.4834638,20023908000
REGN,NASDAQ,485.27,8.149994,1.7081645,50311606000
ROST,NASDAQ,119.53,-2.880005,-2.352753,42542612000
SBAC,NASDAQ,281.79,-0.97998047,-0.34656453,30868711000
SBUX,NASDAQ,109.17,-0.7900009,-0.71844393,1.2754E+11
SIVB,NASDAQ,471.46,-20.52002,-4.170905,25483817000
SNPS,NASDAQ,242.15,-0.9700012,-0.39898044,35841606000
STX,NASDAQ,76.15,0.10500336,0.13808055,18473310000
SWKS,NASDAQ,179.545,-2.8450012,-1.559845,29182350000
TMUS,NASDAQ,124.41,1.4300003,1.1627909,1.41104E+11
TROW,NASDAQ,176.9,-1.2000122,-0.6737856,39694530000
TSCO,NASDAQ,176.6,0.8100128,0.46078438,20299993000
TTWO,NASDAQ,176.85,2.5700073,1.4746428,19686164000
TXN,NASDAQ,187.265,-1.3950043,-0.7394277,1.67958E+11
ULTA,NASDAQ,306.74,3.5299988,1.1642092,17212404000
VIAC,NASDAQ,45.31,-2.75,-5.722014,35302960000
VRSK,NASDAQ,181.12,2.4599915,1.3769122,28599950000
VRSN,NASDAQ,200.84,1.1900024,0.5960443,22467950000
VRTX,NASDAQ,217.92,3.1049957,1.4454278,54901805000
WBA,NASDAQ,52.27,0.25,0.48058438,45190290000
WDC,NASDAQ,66.53,-0.7799988,-1.1588156,20126950000
WYNN,NASDAQ,124.06,-3.3600006,-2.6369493,13509117000
XEL,NASDAQ,66.95,0.5799942,0.87388,34644980000
XLNX,NASDAQ,123,-0.25,-0.20283976,29488493000
XRAY,NASDAQ,61.84,0.47999954,0.7822678,13280232000
ZBRA,NASDAQ,470.51,-6.4599915,-1.3543811,24893354000
ZION,NASDAQ,54.13,-1.7700005,-3.1663692,9045508000
